Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
55446841,09/17/2022 01:18:45 AM,09/17/2022 01:30:31 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10035,320 EAST  126 STREET,EAST  126 STREET,HARLEM RIVER DRV NB EN E  126 ST,1 AVENUE,HARLEM RIVER DRV NB EN E  126 ST,1 AVENUE,ADDRESS,NEW YORK,EAST  126 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 01:30:34 AM,11 MANHATTAN,MANHATTAN,1002985,231874,Unspecified,MANHATTAN,,,,,,,,40.80309663511574,-73.93232846513469,"(40.80309663511574, -73.93232846513469)"
55448362,09/17/2022 01:19:43 AM,09/17/2022 01:28:12 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10033,1348 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST  177 STREET,WEST  178 STREET,WEST  177 STREET,WEST  178 STREET,ADDRESS,NEW YORK,ST NICHOLAS AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 01:28:17 AM,12 MANHATTAN,MANHATTAN,1002122,247874,Unspecified,MANHATTAN,,,,,,,,40.84701386218844,-73.93540303481808,"(40.84701386218844, -73.93540303481808)"
55449908,09/17/2022 01:19:56 AM,09/17/2022 02:27:16 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10009,151 AVENUE C,AVENUE C,EAST    9 STREET,EAST   10 STREET,EAST    9 STREET,EAST   10 STREET,ADDRESS,NEW YORK,AVENUE C,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 02:31:05 AM,03 MANHATTAN,MANHATTAN,990402,203609,Unspecified,MANHATTAN,,,,,,,,40.72553423319804,-73.97780460597261,"(40.72553423319804, -73.97780460597261)"
55440775,09/17/2022 01:20:16 AM,09/17/2022 01:47:43 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11217,572 WARREN STREET,WARREN STREET,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,WARREN STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 01:47:48 AM,06 BROOKLYN,BROOKLYN,989089,187756,Unspecified,BROOKLYN,,,,,,,,40.682022291389764,-73.98255308335538,"(40.682022291389764, -73.98255308335538)"
55445384,09/17/2022 01:20:41 AM,09/17/2022 01:53:29 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10280,225 LIBERTY STREET,LIBERTY STREET,WEST STREET,SOUTH END AVENUE,WEST STREET,SOUTH END AVENUE,ADDRESS,NEW YORK,LIBERTY STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 01:53:33 AM,01 MANHATTAN,MANHATTAN,979905,198509,Unspecified,MANHATTAN,,,,,,,,40.71153703134516,-74.01567274628705,"(40.71153703134516, -74.01567274628705)"
55446839,09/17/2022 01:22:23 AM,09/17/2022 01:27:00 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11217,590 FULTON STREET,FULTON STREET,ROCKWELL PLACE,ASHLAND PLACE,ROCKWELL PLACE,ASHLAND PLACE,ADDRESS,BROOKLYN,FULTON STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,09/17/2022 01:27:04 AM,02 BROOKLYN,BROOKLYN,990099,189967,Unspecified,BROOKLYN,,,,,,,,40.688090371221236,-73.97890962959619,"(40.688090371221236, -73.97890962959619)"
55449910,09/17/2022 01:22:37 AM,09/17/2022 01:27:47 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10033,1348 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST  177 STREET,WEST  178 STREET,WEST  177 STREET,WEST  178 STREET,ADDRESS,NEW YORK,ST NICHOLAS AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 01:27:51 AM,12 MANHATTAN,MANHATTAN,1002122,247874,Unspecified,MANHATTAN,,,,,,,,40.84701386218844,-73.93540303481808,"(40.84701386218844, -73.93540303481808)"
55446713,09/17/2022 01:22:57 AM,09/17/2022 01:36:51 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10003,310 EAST   14 STREET,EAST   14 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST   14 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,09/17/2022 01:36:54 AM,03 MANHATTAN,MANHATTAN,988562,206012,Unspecified,MANHATTAN,,,,,,,,40.73213096963976,-73.98444148029249,"(40.73213096963976, -73.98444148029249)"
55446710,09/17/2022 01:27:33 AM,09/17/2022 04:56:10 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10128,159 EAST   92 STREET,EAST   92 STREET,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,ADDRESS,NEW YORK,EAST   92 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 04:56:15 AM,08 MANHATTAN,MANHATTAN,997485,224573,Unspecified,MANHATTAN,,,,,,,,40.783067315232856,-73.95220905788331,"(40.783067315232856, -73.95220905788331)"
55443875,09/17/2022 01:29:13 AM,09/17/2022 02:42:49 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11377,68 STREET,68 STREET,41 AVENUE,68 STREET,41 AVENUE,68 STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 02:46:46 AM,02 QUEENS,QUEENS,1012818,210562,Unspecified,QUEENS,,,,,,,,40.74457449945099,-73.89690192285651,"(40.74457449945099, -73.89690192285651)"
55448350,09/17/2022 01:29:56 AM,09/17/2022 02:36:39 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11237,1329 WILLOUGHBY AVENUE,WILLOUGHBY AVENUE,WYCKOFF AVENUE,ST NICHOLAS AVENUE,WYCKOFF AVENUE,ST NICHOLAS AVENUE,ADDRESS,BROOKLYN,WILLOUGHBY AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/17/2022 02:36:21 AM,04 BROOKLYN,BROOKLYN,1006136,196510,Unspecified,BROOKLYN,,,,,,,,40.706024249798475,-73.92106204757528,"(40.706024249798475, -73.92106204757528)"
55439049,09/17/2022 01:32:49 AM,09/17/2022 02:15:08 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10469,2934 WILSON AVENUE,WILSON AVENUE,SEXTON PLACE,ADEE AVENUE,SEXTON PLACE,ADEE AVENUE,ADDRESS,BRONX,WILSON AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/17/2022 02:15:13 AM,11 BRONX,BRONX,1026016,255712,Unspecified,BRONX,,,,,,,,40.86844610091511,-73.84899129963152,"(40.86844610091511, -73.84899129963152)"
55442282,09/17/2022 01:37:37 AM,09/17/2022 02:08:13 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10456,907 EAGLE AVENUE,EAGLE AVENUE,EAST  161 STREET,EAST  163 STREET,EAST  161 STREET,EAST  163 STREET,ADDRESS,BRONX,EAGLE AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/17/2022 02:08:18 AM,03 BRONX,BRONX,1009668,239070,Unspecified,BRONX,,,,,,,,40.82283094023671,-73.90816197893012,"(40.82283094023671, -73.90816197893012)"
55446707,09/17/2022 01:38:14 AM,09/17/2022 05:21:04 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11223,2612 WEST    2 STREET,WEST    2 STREET,AVENUE Z,BELT PARKWAY WB EN W    2 ST,AVENUE Z,BELT PARKWAY WB EN W    2 ST,ADDRESS,BROOKLYN,WEST    2 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,09/17/2022 05:21:11 AM,13 BROOKLYN,BROOKLYN,992246,152667,Unspecified,BROOKLYN,,,,,,,,40.585708160104176,-73.9712121613152,"(40.585708160104176, -73.9712121613152)"
55443725,09/17/2022 01:41:56 AM,09/17/2022 02:14:31 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10469,2934 WILSON AVENUE,WILSON AVENUE,SEXTON PLACE,ADEE AVENUE,SEXTON PLACE,ADEE AVENUE,ADDRESS,BRONX,WILSON AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/17/2022 02:14:36 AM,11 BRONX,BRONX,1026016,255712,Unspecified,BRONX,,,,,,,,40.86844610091511,-73.84899129963152,"(40.86844610091511, -73.84899129963152)"
55439191,09/17/2022 01:49:18 AM,09/17/2022 02:30:44 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10032,469 WEST  163 STREET,WEST  163 STREET,EDGECOMBE AVENUE,AMSTERDAM AVENUE,EDGECOMBE AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST  163 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 02:31:12 AM,12 MANHATTAN,MANHATTAN,1001140,243987,Unspecified,MANHATTAN,,,,,,,,40.83634711753337,-73.93896218640877,"(40.83634711753337, -73.93896218640877)"
55443879,09/17/2022 01:57:39 AM,09/17/2022 02:56:44 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11225,2111 BEEKMAN PLACE,BEEKMAN PLACE,DEAD END,FLATBUSH AVENUE,DEAD END,FLATBUSH AVENUE,ADDRESS,BROOKLYN,BEEKMAN PLACE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 02:56:50 AM,09 BROOKLYN,BROOKLYN,994992,179735,Unspecified,BROOKLYN,,,,,,,,40.66000124850346,-73.96128272045006,"(40.66000124850346, -73.96128272045006)"
55445385,09/17/2022 02:00:22 AM,09/17/2022 03:39:58 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11691,14-10 NEW HAVEN AVENUE,NEW HAVEN AVENUE,BEACH   14 STREET,BEACH   15 STREET,BEACH   14 STREET,BEACH   15 STREET,ADDRESS,FAR ROCKAWAY,NEW HAVEN AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 03:40:05 AM,14 QUEENS,QUEENS,1054142,157374,Unspecified,QUEENS,,,,,,,,40.59835594693631,-73.7483212256282,"(40.59835594693631, -73.7483212256282)"
55448361,09/17/2022 02:12:56 AM,09/17/2022 02:40:00 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10032,515 WEST  170 STREET,WEST  170 STREET,AMSTERDAM AVENUE,AUDUBON AVENUE,AMSTERDAM AVENUE,AUDUBON AVENUE,ADDRESS,NEW YORK,WEST  170 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 02:44:50 AM,12 MANHATTAN,MANHATTAN,1001790,245798,Unspecified,MANHATTAN,,,,,,,,40.84131651790467,-73.9366084528737,"(40.84131651790467, -73.9366084528737)"
55442124,09/17/2022 02:13:23 AM,09/17/2022 02:36:12 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11221,114 VAN BUREN STREET,VAN BUREN STREET,THROOP AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE,MARCUS GARVEY BOULEVARD,ADDRESS,BROOKLYN,VAN BUREN STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 02:36:10 AM,03 BROOKLYN,BROOKLYN,1000565,190773,Unspecified,BROOKLYN,,,,,,,,40.690289551015645,-73.94116929995714,"(40.690289551015645, -73.94116929995714)"
55442279,09/17/2022 02:40:18 AM,09/17/2022 03:09:44 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10025,164 MANHATTAN AVENUE,MANHATTAN AVENUE,WEST  107 STREET,WEST  108 STREET,WEST  107 STREET,WEST  108 STREET,ADDRESS,NEW YORK,MANHATTAN AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/17/2022 03:09:49 AM,07 MANHATTAN,MANHATTAN,995109,230593,Unspecified,MANHATTAN,,,,,,,,40.79959383086877,-73.96077894419201,"(40.79959383086877, -73.96077894419201)"
55443721,09/17/2022 02:40:58 AM,09/17/2022 03:55:35 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11213,1054 PARK PLACE,PARK PLACE,BROOKLYN AVENUE,KINGSTON AVENUE,BROOKLYN AVENUE,KINGSTON AVENUE,ADDRESS,BROOKLYN,PARK PLACE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 03:55:41 AM,08 BROOKLYN,BROOKLYN,1000116,184478,Unspecified,BROOKLYN,,,,,,,,40.673012027234606,-73.94280318230824,"(40.673012027234606, -73.94280318230824)"
55440778,09/17/2022 02:42:15 AM,09/17/2022 04:26:00 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11206,39 LOCUST STREET,LOCUST STREET,BROADWAY,BEAVER STREET,BROADWAY,BEAVER STREET,ADDRESS,BROOKLYN,LOCUST STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 04:26:12 AM,04 BROOKLYN,BROOKLYN,1001635,194135,Unspecified,BROOKLYN,,,,,,,,40.699515421920545,-73.93730228214953,"(40.699515421920545, -73.93730228214953)"
55439052,09/17/2022 02:46:17 AM,09/17/2022 03:05:04 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11377,67-03 WOODSIDE AVENUE,WOODSIDE AVENUE,67 STREET,67 STREET,67 STREET,67 STREET,ADDRESS,WOODSIDE,WOODSIDE AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/17/2022 03:05:09 AM,02 QUEENS,QUEENS,1012677,210025,Unspecified,QUEENS,,,,,,,,40.743101024032335,-73.89741304204851,"(40.743101024032335, -73.89741304204851)"
55445249,09/17/2022 02:47:06 AM,09/17/2022 02:58:59 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11233,341 KINGSBOROUGH    3 WALK,KINGSBOROUGH    3 WALK,PACIFIC STREET,BERGEN STREET,PACIFIC STREET,BERGEN STREET,ADDRESS,BROOKLYN,KINGSBOROUGH    3 WALK,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 02:59:05 AM,08 BROOKLYN,BROOKLYN,1004833,185315,Unspecified,BROOKLYN,,,,,,,,40.67529969269659,-73.92579588186173,"(40.67529969269659, -73.92579588186173)"
55439044,09/17/2022 02:47:18 AM,09/17/2022 04:26:19 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10463,3971 GOUVERNEUR AVENUE,GOUVERNEUR AVENUE,SEDGWICK AVENUE,VAN CORTLANDT PARK SOUTH,SEDGWICK AVENUE,VAN CORTLANDT PARK SOUTH,ADDRESS,BRONX,GOUVERNEUR AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 04:26:23 AM,08 BRONX,BRONX,1014155,261193,Unspecified,BRONX,,,,,,,,40.88353789546767,-73.89185128507039,"(40.88353789546767, -73.89185128507039)"
55446840,09/17/2022 02:49:46 AM,09/17/2022 03:14:40 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10026,54 WEST  119 STREET,WEST  119 STREET,5 AVENUE,LENOX AVENUE,5 AVENUE,LENOX AVENUE,ADDRESS,NEW YORK,WEST  119 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/17/2022 03:14:45 AM,10 MANHATTAN,MANHATTAN,998935,231979,Unspecified,MANHATTAN,,,,,,,,40.80339249060073,-73.94695698594334,"(40.80339249060073, -73.94695698594334)"
55448204,09/17/2022 02:53:21 AM,09/17/2022 03:20:53 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10301,211 CORSON AVENUE,CORSON AVENUE,WESTERVELT AVENUE,JERSEY STREET,WESTERVELT AVENUE,JERSEY STREET,ADDRESS,STATEN ISLAND,CORSON AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 03:21:00 AM,01 STATEN ISLAND,STATEN ISLAND,960604,171496,Unspecified,STATEN ISLAND,,,,,,,,40.63736193217787,-74.08519812958339,"(40.63736193217787, -74.08519812958339)"
55448206,09/17/2022 02:57:56 AM,09/17/2022 03:18:38 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10002,227 CHERRY STREET,CHERRY STREET,PIKE SLIP,RUTGERS SLIP,PIKE SLIP,RUTGERS SLIP,ADDRESS,NEW YORK,CHERRY STREET,,Closed,,The Police Department reviewed your complaint and provided additional information below.,09/17/2022 03:18:41 AM,03 MANHATTAN,MANHATTAN,986777,198336,Unspecified,MANHATTAN,,,,,,,,40.711062893490016,-73.99088498319651,"(40.711062893490016, -73.99088498319651)"
55446708,09/17/2022 03:00:56 AM,09/17/2022 04:20:20 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11232,849 42 STREET,42 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,BROOKLYN,42 STREET,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,09/17/2022 04:20:23 AM,12 BROOKLYN,BROOKLYN,984818,174248,Unspecified,BROOKLYN,,,,,,,,40.6449471267718,-73.99795322543724,"(40.6449471267718, -73.99795322543724)"
55439193,09/17/2022 03:08:27 AM,09/17/2022 05:53:30 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10014,100 JANE STREET,JANE STREET,WASHINGTON STREET,WEST STREET,WASHINGTON STREET,WEST STREET,ADDRESS,NEW YORK,JANE STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,09/17/2022 05:53:34 AM,02 MANHATTAN,MANHATTAN,981928,208199,Unspecified,MANHATTAN,,,,,,,,40.73813449166738,-74.00837897443877,"(40.73813449166738, -74.00837897443877)"
55446838,09/17/2022 03:10:45 AM,09/17/2022 03:39:17 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11207,893 SCHENCK AVENUE,SCHENCK AVENUE,PRINCE JOSHUA AVITTO WAY,WORTMAN AVENUE,PRINCE JOSHUA AVITTO WAY,WORTMAN AVENUE,ADDRESS,BROOKLYN,SCHENCK AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 03:39:21 AM,05 BROOKLYN,BROOKLYN,1017022,179173,Unspecified,BROOKLYN,,,,,,,,40.65840455203174,-73.88188301444583,"(40.65840455203174, -73.88188301444583)"
55444710,09/17/2022 03:13:11 AM,09/17/2022 04:26:35 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11237,44 WILSON AVENUE,WILSON AVENUE,GEORGE STREET,MELROSE STREET,GEORGE STREET,MELROSE STREET,ADDRESS,BROOKLYN,WILSON AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 04:26:42 AM,04 BROOKLYN,BROOKLYN,1003829,195325,Unspecified,BROOKLYN,,,,,,,,40.70277711007218,-73.92938632693719,"(40.70277711007218, -73.92938632693719)"
55449901,09/17/2022 03:13:57 AM,09/17/2022 03:34:28 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11220,5304 4 AVENUE,4 AVENUE,53 STREET,54 STREET,53 STREET,54 STREET,ADDRESS,BROOKLYN,4 AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/17/2022 03:34:35 AM,07 BROOKLYN,BROOKLYN,980244,174157,Unspecified,BROOKLYN,,,,,,,,40.64469646359387,-74.01443547206301,"(40.64469646359387, -74.01443547206301)"
55439048,09/17/2022 03:16:00 AM,09/17/2022 04:18:56 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11358,41-12 159 STREET,159 STREET,STATION ROAD,SANFORD AVENUE,STATION ROAD,SANFORD AVENUE,ADDRESS,FLUSHING,159 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/17/2022 04:19:01 AM,07 QUEENS,QUEENS,1037813,216846,Unspecified,QUEENS,,,,,,,,40.76170637604076,-73.80664849081928,"(40.76170637604076, -73.80664849081928)"
55449759,09/17/2022 03:19:01 AM,09/17/2022 04:13:53 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11103,24-10 41 STREET,41 STREET,ASTORIA BOULEVARD SOUTH,25 AVENUE,ASTORIA BOULEVARD SOUTH,25 AVENUE,ADDRESS,ASTORIA,41 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/17/2022 04:13:58 AM,01 QUEENS,QUEENS,1009127,219258,Unspecified,QUEENS,,,,,,,,40.768453943400374,-73.91019006095439,"(40.768453943400374, -73.91019006095439)"
55439194,09/17/2022 03:21:17 AM,09/17/2022 03:44:38 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11102,28-02 8 STREET,8 STREET,28 AVENUE,ASTORIA BOULEVARD,28 AVENUE,ASTORIA BOULEVARD,ADDRESS,ASTORIA,8 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/17/2022 03:44:45 AM,01 QUEENS,QUEENS,1002983,221005,Unspecified,QUEENS,,,,,,,,40.77326415609518,-73.93236600134284,"(40.77326415609518, -73.93236600134284)"
55438549,09/17/2022 03:24:23 AM,09/17/2022 03:42:25 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11103,37-06 30 AVENUE,30 AVENUE,37 STREET,38 STREET,37 STREET,38 STREET,ADDRESS,ASTORIA,30 AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/17/2022 03:42:31 AM,01 QUEENS,QUEENS,1007397,217839,Unspecified,QUEENS,,,,,,,,40.764563856671124,-73.91644051972108,"(40.764563856671124, -73.91644051972108)"
55446705,09/17/2022 03:28:54 AM,09/17/2022 05:59:57 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10014,207 WEST   10 STREET,WEST   10 STREET,WEST    4 STREET,BLEECKER STREET,WEST    4 STREET,BLEECKER STREET,ADDRESS,NEW YORK,WEST   10 STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,09/17/2022 06:00:01 AM,02 MANHATTAN,MANHATTAN,983145,206731,Unspecified,MANHATTAN,,,,,,,,40.73410542995691,-74.00398716920822,"(40.73410542995691, -74.00398716920822)"
55442286,09/17/2022 03:36:52 AM,09/17/2022 05:14:56 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11373,BRITTON AVENUE,BRITTON AVENUE,BRITTON AVENUE,HAMPTON STREET,BRITTON AVENUE,HAMPTON STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 05:15:01 AM,04 QUEENS,QUEENS,1017422,211027,Unspecified,QUEENS,,,,,,,,40.74583473536099,-73.88028443071175,"(40.74583473536099, -73.88028443071175)"
55442278,09/17/2022 03:45:28 AM,09/17/2022 05:35:33 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11104,45-43 40 STREET,40 STREET,FLUSHING LINE,47 AVENUE,FLUSHING LINE,47 AVENUE,ADDRESS,SUNNYSIDE,40 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 05:35:41 AM,02 QUEENS,QUEENS,1005186,209912,Unspecified,QUEENS,,,,,,,,40.74281177402174,-73.92444679345256,"(40.74281177402174, -73.92444679345256)"
55442277,09/17/2022 03:49:15 AM,09/17/2022 04:08:12 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10467,215 EAST GUN HILL ROAD,EAST GUN HILL ROAD,WAYNE AVENUE,TRYON AVENUE,WAYNE AVENUE,TRYON AVENUE,ADDRESS,BRONX,EAST GUN HILL ROAD,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 04:08:21 AM,07 BRONX,BRONX,1018232,260065,Unspecified,BRONX,,,,,,,,40.88042713278525,-73.87711292596249,"(40.88042713278525, -73.87711292596249)"
55446167,09/17/2022 04:00:21 AM,09/17/2022 04:26:56 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11237,44 WILSON AVENUE,WILSON AVENUE,GEORGE STREET,MELROSE STREET,GEORGE STREET,MELROSE STREET,ADDRESS,BROOKLYN,WILSON AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 04:27:02 AM,04 BROOKLYN,BROOKLYN,1003829,195325,Unspecified,BROOKLYN,,,,,,,,40.70277711007218,-73.92938632693719,"(40.70277711007218, -73.92938632693719)"
55448209,09/17/2022 04:10:13 AM,09/17/2022 08:12:15 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10453,2160 WALTON AVENUE,WALTON AVENUE,EAST  181 STREET,FIREFIGHTER MICHAEL C REILEY WAY,EAST  181 STREET,FIREFIGHTER MICHAEL C REILEY WAY,ADDRESS,BRONX,WALTON AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/17/2022 08:12:22 AM,05 BRONX,BRONX,1010671,251026,Unspecified,BRONX,,,,,,,,40.85564372048748,-73.90449093274638,"(40.85564372048748, -73.90449093274638)"
55442272,09/17/2022 04:13:09 AM,09/17/2022 06:11:18 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11207,558 WYONA STREET,WYONA STREET,LIVONIA AVENUE,RIVERDALE AVENUE,LIVONIA AVENUE,RIVERDALE AVENUE,ADDRESS,BROOKLYN,WYONA STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2022 06:11:21 AM,05 BROOKLYN,BROOKLYN,1014459,181472,Unspecified,BROOKLYN,,,,,,,,40.66472390959799,-73.89111028014622,"(40.66472390959799, -73.89111028014622)"
